Molecule_ChEMBL_IDs,Class,BCUTc-1l,BCUTi-1h,BCUTv-1h,PEOE_VSA2,BCUTi-1l,BCUTZ-1h,BCUTs-1l,SlogP_VSA5,Xch-6dv,BCUTd-1h,BCUTZ-1l,SMR_VSA3,Xc-5d,BCUTs-1h,BCUTp-1l,BCUTpe-1l,EState_VSA1,EState_VSA6,piPC9,BCUTdv-1l,BCUTare-1l,Xch-7dv,Xch-6d,ATSC1i
CHEMBL2021445,1,-0.385197609,14.56211102,26.52494213,20.40764158,10.93558939,35.00142824,1.043130786,36.81018948,0.309123313,4.043319853,5.675814045,30.81823258,1.416951601,7.009372955,0.750753311,2.223672493,29.05830191,12.39368714,7.626817648,0.255072043,2.17339158,0.562675175,0.818508472,5.947276246
CHEMBL3218061,1,-0.529190504,14.56108845,20.90637754,4.794537184,10.94911817,8.022174712,1.330229939,47.67109373,0.140590756,3.269176008,5.688629778,9.551078169,0.421006446,7.008273065,0.751849764,2.237590755,0.0,7.109797541,7.45426095,0.987857572,2.187997612,0.181726367,0.479942135,-6.599346292
CHEMBL163316,1,-0.527661366,13.63995058,20.91550892,4.794537184,10.93248928,8.025358637,1.364085536,0.0,0.057647354,3.307797249,5.671346544,0.0,0.56710403,7.008282216,0.748617452,2.215384454,16.92781406,0.0,8.019119252,0.997574701,2.166442812,0.101640565,0.168957858,7.281788108
CHEMBL440896,1,-0.396036116,14.59491795,24.4407203,10.11431827,10.31134415,16.00450358,0.604948799,10.70155169,0.183984665,3.19864095,5.694955368,9.967957042,0.333333333,8.001936405,0.669265283,2.240728663,4.923311049,12.14238718,7.304836381,0.65318573,2.191738145,0.184503014,0.426346367,7.11131486
CHEMBL452338,1,-0.395985939,14.59499294,24.4407201,10.11431827,10.31134438,16.00450359,0.604948904,10.70155169,0.174086031,3.19864095,5.720934601,14.95193556,0.333333333,8.001936444,0.66926481,2.257556732,4.923311049,30.47196488,7.304836381,0.653185863,2.199208389,0.172553458,0.426346367,2.033876908
CHEMBL467407,1,-0.306591017,13.62548938,20.91575412,0.0,10.93903515,8.008445049,1.169853163,55.71819979,0.116652493,3.255155119,5.678587047,0.0,0.511985211,6.004931211,0.786519431,2.227549311,0.0,42.48387556,7.016048989,0.993561376,2.177732627,0.207233032,0.206930271,10.68829764
CHEMBL1082,1,-0.390268205,14.54423497,24.43423464,9.589074368,10.33782609,16.00200395,0.617318552,25.45276672,0.651569551,4.023078419,5.693175174,10.21669833,0.836549603,7.010460017,0.741398751,2.24221385,46.0300825,13.8474744,5.309195485,0.659357395,2.192396919,1.15697343,0.858586178,3.646486133
CHEMBL261875,1,-0.516787437,13.6388908,20.90634535,9.589074368,10.94131365,8.024083019,1.074849762,73.23684251,0.710483282,4.039755296,5.680609744,0.0,1.330415152,7.009670608,0.752406354,2.227793281,17.13380759,0.0,7.142209621,0.988212899,2.178288941,1.232208932,0.776784913,9.187787886
CHEMBL3581983,1,-0.528470567,13.63787582,20.91975906,4.794537184,10.94587616,8.022976355,1.184430804,51.55740428,0.12543179,3.286884332,5.685221139,0.0,0.462175462,7.008277201,0.752726426,2.232711738,6.103966388,60.66367068,7.490407256,0.997565909,2.183156771,0.18665837,0.350916477,10.61365562
CHEMBL4082442,1,-0.36109392,14.56057817,20.9293649,14.38361155,10.93703276,8.024647925,1.182387292,75.18408515,0.260508941,4.023694044,5.676101621,40.87025842,1.571143761,7.010468914,0.75099279,2.225343295,35.84706168,12.39368714,7.764755362,0.987152839,2.175532663,0.272734246,0.858935648,-1.292112682
